## Bin(cM)	Covariance
   0.2660	  0.00576
   0.2670	  0.00650
   0.2680	  0.00556
   0.2690	  0.00519
   0.2700	  0.00459
   0.2710	  0.00584
   0.2720	  0.00649
   0.2730	  0.00622
   0.2740	  0.00480
   0.2750	  0.00558
   0.2760	  0.00454
   0.2770	  0.00448
   0.2780	  0.00484
   0.2790	  0.00502
   0.2800	  0.00525
   0.2810	  0.00386
   0.2820	  0.00482
   0.2830	  0.00508
   0.2840	  0.00445
   0.2850	  0.00429
   0.2860	  0.00538
   0.2870	  0.00532
   0.2880	  0.00568
   0.2890	  0.00519
   0.2900	  0.00425
   0.2910	  0.00417
   0.2920	  0.00570
   0.2930	  0.00544
   0.2940	  0.00499
   0.2950	  0.00442
   0.2960	  0.00494
   0.2970	  0.00467
   0.2980	  0.00578
   0.2990	  0.00466
   0.3000	  0.00467
   0.3010	  0.00481
   0.3020	  0.00450
   0.3030	  0.00478
   0.3040	  0.00447
   0.3050	  0.00486
   0.3060	  0.00521
   0.3070	  0.00365
   0.3080	  0.00477
   0.3090	  0.00424
   0.3100	  0.00399
   0.3110	  0.00431
   0.3120	  0.00431
   0.3130	  0.00382
   0.3140	  0.00512
   0.3150	  0.00499
   0.3160	  0.00450
   0.3170	  0.00386
   0.3180	  0.00451
   0.3190	  0.00384
   0.3200	  0.00369
   0.3210	  0.00382
   0.3220	  0.00301
   0.3230	  0.00459
   0.3240	  0.00345
   0.3250	  0.00343
   0.3260	  0.00391
   0.3270	  0.00306
   0.3280	  0.00414
   0.3290	  0.00487
   0.3300	  0.00391
   0.3310	  0.00449
   0.3320	  0.00428
   0.3330	  0.00347
   0.3340	  0.00465
   0.3350	  0.00533
   0.3360	  0.00416
   0.3370	  0.00335
   0.3380	  0.00409
   0.3390	  0.00451
   0.3400	  0.00465
   0.3410	  0.00318
   0.3420	  0.00409
   0.3430	  0.00476
   0.3440	  0.00355
   0.3450	  0.00430
   0.3460	  0.00461
   0.3470	  0.00480
   0.3480	  0.00426
   0.3490	  0.00479
   0.3500	  0.00370
   0.3510	  0.00495
   0.3520	  0.00408
   0.3530	  0.00275
   0.3540	  0.00438
   0.3550	  0.00334
   0.3560	  0.00398
   0.3570	  0.00427
   0.3580	  0.00443
   0.3590	  0.00424
   0.3600	  0.00400
   0.3610	  0.00387
   0.3620	  0.00431
   0.3630	  0.00486
   0.3640	  0.00333
   0.3650	  0.00386
   0.3660	  0.00352
   0.3670	  0.00264
   0.3680	  0.00423
   0.3690	  0.00367
   0.3700	  0.00317
   0.3710	  0.00298
   0.3720	  0.00337
   0.3730	  0.00413
